,precision,recall,f1-score,support
0,0.9561781609195402,0.9624005784526392,0.9592792792792793,1383.0
1,0.9475632325724861,0.9789674952198852,0.9630094043887146,1569.0
2,0.9072700296735905,0.9012527634487841,0.9042513863216266,1357.0
3,0.9118264520643807,0.8882072256305386,0.8998618784530388,1467.0
4,0.9238095238095239,0.9258443465491923,0.9248258159149249,1362.0
5,0.8736,0.8757016840417001,0.8746495794953945,1247.0
6,0.9475549255846917,0.9502487562189055,0.9488999290276791,1407.0
7,0.9242857142857143,0.9363241678726484,0.9302659956865564,1382.0
8,0.9050489826676714,0.8734545454545455,0.8889711324944487,1375.0
9,0.8949897048730268,0.8986905582356995,0.8968363136176066,1451.0
accuracy,0.9201428571428572,0.9201428571428572,0.9201428571428572,0.9201428571428572
macro avg,0.9192126726450625,0.9191092121124539,0.919085071467927,14000.0
weighted avg,0.9199420546936689,0.9201428571428572,0.9199633497846325,14000.0
